"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"1",28,28,5,1387,151,60.3,1700,81.58,6,5,103,14,5,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Imam-ul-Haq","Pakistan","Batting style Left-hand bat",NA
"2",36,36,4,1642,210,51.31,1673,98.14,4,10,191,27,16,0,36,7,135,111,1,111,4.93,135,0,0,0," Fakhar Zaman","Pakistan","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"3",64,62,9,2739,125,51.67,3186,85.96,9,12,229,25,31,0,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammad Babar Azam","Pakistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"4",34,33,5,1320,130,47.14,1588,83.12,2,10,107,18,13,0,34,21,642,613,11,55.72,5.72,58.3,0,0,0," Haris Sohail","Pakistan","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"5",210,208,15,6361,140,32.95,8348,76.19,11,37,642,105,80,0,210,170,7541,5211,137,38.03,4.14,55,1,0,0," Mohammad Hafeez","Pakistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"6",284,255,40,7526,143,35,9188,81.91,9,44,603,113,96,0,284,214,7910,6145,157,39.14,4.66,50.3,1,0,0," Shoaib Malik","Pakistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"7",106,80,19,2128,105,34.88,2413,88.18,2,10,162,12,99,23,106,1,12,15,0,NA,7.5,NA,0,0,0," Sarfaraz Ahmed","Pakistan","Batting style Right-hand bat",NA
"8",46,33,14,778,63,40.94,723,107.6,0,5,68,16,10,0,46,45,2037,1639,39,42.02,4.82,52.2,0,1,0," Syed Imad Wasim","Pakistan","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"9",49,26,8,237,59,13.16,223,106.27,0,2,15,13,12,0,49,47,2350,2125,80,26.56,5.42,29.3,1,3,0," Hasan Ali","Pakistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"10",34,16,6,294,54,29.4,452,65.04,0,3,16,4,7,0,34,33,1627,1304,47,27.74,4.8,34.6,3,0,0," Shadab Khan","Pakistan","Batting style Right-hand bat","Bowling style Legbreak"
