Name,Matches,Runs,HS,Batting Average,Sixes,Wickets,Bowling average,Five wickets,Catches taken,Stumpings made
Mohammad Nabi,45,1069,77,31.44,0,42,36.23,0,22,0
Afsar Zazai,8,206,60,29.42,0,-,-,-,12,1
Aftab Alam,8,10,6*,5.00,0,11,27.27,0,1,0
Asghar Afghan,38,832,90*,26.00,0,2,42.00,0,12,0
Dawlat Zadran,24,141,24*,14.10,0,32,32.31,0,7,0
Gulbadin Naib,14,152,31,16.88,0,8,33.37,0,3,0
Hamid Hassan,24,48,17,6.00,0,46,18.93,1,3,0
Javed Ahmadi,19,459,81,27.00,0,7,26.85,0,7,0
Najibullah Zadran,10,190,83,21.11,0,0,-,0,2,0
Nasir Jamal,4,127,52*,42.33,0,0,-,0,2,0
Nawroz Mangal,34,960,129,35.55,2,7,30.28,0,11,0
Samiullah Shinwari,44,1018,82*,36.35,0,41,30.34,0,8,0
Shafiqullah,10,179,56,25.57,0,-,-,-,5,1
Shapoor Zadran,30,41,17,5.12,0,29,35.62,0,4,0
Usman Ghani,12,396,118,33.00,1,1,34.00,0,3,0
Mirwais Ashraf,28,229,52*,14.31,0,26,33.34,0,5,0
Michael Clarke,238,7762,130,44.86,8,56,38.07,1,101,0
George Bailey,57,2017,156,42.02,2,-,-,-,31,0
Pat Cummins,10,22,11*,11.00,0,14,35.50,0,2,0
Xavier Doherty,59,101,15*,14.42,0,55,39.34,0,17,0
James Faulkner,38,770,116,48.12,1,50,32.36,0,11,0
Aaron Finch,42,1582,148,39.55,6,2,24.00,0,21,0
Brad Haddin,119,3027,110,31.20,2,-,-,-,156,11
Josh Hazlewood,9,0,0*,-,0,12,26.16,1,0,0
Mitchell Johnson,146,920,73*,15.86,0,226,25.43,3,32,0
Mitchell Marsh,15,443,89,36.91,0,11,29.36,1,7,0
Glenn Maxwell,42,1109,95,31.68,0,28,39.21,0,24,0
Steven Smith,51,1152,104,34.90,3,27,33.14,0,32,0
Mitchell Starc,34,162,52*,32.40,0,63,21.34,4,7,0
David Warner,55,1724,163,32.52,3,0,-,0,19,0
Shane Watson,181,5478,185*,40.27,9,164,31.29,0,62,0
Mashrafe Mortaza,144,1346,51*,14.95,0,183,30.51,1,44,0
Anamul Haque,27,892,120,35.68,3,-,-,-,9,0
Arafat Sunny,8,10,5,5.00,0,16,17.81,0,4,0
Imrul Kayes,53,1390,101,26.73,1,-,-,-,16,0
